,alpha,beta,gamma,tau,scf_cc,nn_scf_cc
244,40.0,0.6,26.0,0.8,3.556078727,3.5210443
245,22.0,0.7,32.0,0.8,3.832302243,3.8231964
246,22.0,0.3,26.0,1.0,4.32671849,4.375193
247,40.0,0.3,26.0,1.0,4.32734519,4.3944125
248,40.0,0.7,32.0,0.8,3.833454036,3.8111215
249,4.0,0.3,14.0,0.4,1.313202541,1.3152751
250,40.0,0.3,14.0,0.4,1.321880964,1.3279071
251,22.0,0.3,14.0,0.4,1.321548252,1.3312589
252,4.0,0.4,8.0,0.2,0.52897108,0.5567459
253,22.0,0.5,32.0,1.0,4.941866434,4.9322486
254,40.0,0.5,32.0,1.0,4.942705418,4.932812
255,4.0,0.2,26.0,0.8,3.194078365,3.2137313
256,4.0,0.5,8.0,0.2,0.573998526,0.58722913
257,40.0,0.7,20.0,0.6,2.36187313,2.339515
258,4.0,0.3,20.0,0.8,2.997458083,2.9987485
259,22.0,0.7,20.0,0.6,2.355831083,2.3457406
260,40.0,0.2,26.0,0.8,3.196857705,3.2352474
261,22.0,0.2,26.0,0.8,3.196673466,3.2523072
262,40.0,0.6,14.0,0.4,1.445030037,1.4280505
263,22.0,0.6,14.0,0.4,1.442307562,1.4274169
264,40.0,0.6,20.0,0.2,0.620156128,0.69356143
265,22.0,0.6,20.0,0.2,0.620036971,0.8596252
266,4.0,0.4,14.0,0.6,1.994564575,1.9560922
267,40.0,0.5,8.0,0.2,0.585964978,0.59829324
268,22.0,0.5,8.0,0.2,0.585161761,0.5928618
269,22.0,0.3,20.0,0.8,3.003703742,3.021853
270,40.0,0.3,20.0,0.8,3.004408665,3.0322607
271,22.0,0.7,26.0,0.8,3.450100622,3.4084635
272,40.0,0.5,14.0,0.6,2.043275011,2.0296667
273,22.0,0.5,14.0,0.6,2.040818975,2.0319178
274,4.0,0.7,8.0,0.2,0.602896169,0.6192802
275,4.0,0.6,8.0,0.2,0.584432427,0.59932864
276,40.0,0.4,14.0,0.6,2.011455826,2.013321
277,22.0,0.4,14.0,0.6,2.010220649,2.005557
278,40.0,0.6,20.0,0.8,3.099662188,3.089487
279,22.0,0.6,20.0,0.8,3.094359992,3.0507052
280,22.0,0.5,26.0,1.0,4.419935453,4.3925776
281,40.0,0.5,26.0,1.0,4.422855977,4.4078164
282,40.0,0.6,14.0,0.6,2.00656059,2.0009813
283,22.0,0.6,14.0,0.6,2.002322793,1.9747826
284,4.0,0.7,20.0,1.0,3.73496444,3.7123802
285,40.0,0.7,14.0,0.4,1.428155906,1.4290317
286,22.0,0.7,14.0,0.4,1.423820101,1.419232
287,4.0,0.7,14.0,0.8,2.491284807,2.460658
288,4.0,0.2,20.0,0.6,2.055761513,2.057558
289,22.0,0.2,20.0,0.6,2.058934404,2.048527
290,40.0,0.2,20.0,0.6,2.058992273,2.0536127
291,40.0,0.7,26.0,0.8,3.438424069,3.414086
292,22.0,0.6,8.0,0.2,0.596014677,0.6031443
293,4.0,0.5,20.0,1.0,3.814626199,3.791085
294,4.0,0.6,20.0,1.0,3.803959502,3.7704837
295,4.0,0.6,14.0,0.8,2.490871173,2.4580958
296,40.0,0.7,14.0,0.6,1.961064422,1.9498849
297,22.0,0.7,14.0,0.6,1.954349482,1.9343214
298,4.0,0.7,8.0,0.4,1.044139226,1.0518844
299,40.0,0.7,8.0,0.2,0.619912699,0.6256941
300,22.0,0.7,8.0,0.2,0.617622783,0.62649965
301,40.0,0.7,20.0,0.8,2.978550287,2.9671223
302,22.0,0.7,20.0,0.8,2.97028164,2.9527147
303,4.0,0.4,20.0,1.0,3.705178849,3.6734889
304,40.0,0.6,32.0,1.0,4.725533856,4.72213
305,4.0,0.5,14.0,0.8,2.48809685,2.4711616
306,40.0,0.6,8.0,0.2,0.523028676,0.55899537
307,4.0,0.6,8.0,0.4,1.010138922,1.0178827
308,4.0,0.3,14.0,0.6,1.778662715,1.7747442
309,40.0,0.3,14.0,0.6,1.788079517,1.8193547
310,22.0,0.3,14.0,0.6,1.787595273,1.7720168
311,40.0,0.5,20.0,1.0,3.783681888,3.7835803
312,22.0,0.5,20.0,1.0,3.778964773,3.7773666
313,22.0,0.4,20.0,1.0,3.702419705,3.7090354
314,40.0,0.4,20.0,1.0,3.704441912,3.7099802
315,22.0,0.6,32.0,1.0,4.693071707,4.7093363
316,22.0,0.7,32.0,1.0,4.559782279,4.5576553
317,4.0,0.5,8.0,0.4,0.97220828,0.9723418
318,22.0,0.6,26.0,1.0,4.278763598,4.235504
319,40.0,0.7,8.0,0.4,1.077502043,1.0891511
320,40.0,0.6,26.0,1.0,4.283533984,4.271832
